country,year,gdp,Reunification
Australia,1960,9347.68,0
Australia,1961,9390.99,0
Australia,1962,9283.18,0
Australia,1963,9672.93,0
Australia,1964,10147.03,0
Australia,1965,10545.15,0
Australia,1966,10552.32,0
Australia,1967,11076.92,0
Australia,1968,11437.58,0
Australia,1969,11989.79,0
Australia,1970,12599.45,0
Australia,1971,12667.97,0
Australia,1972,12923.59,0
Australia,1973,13060.93,0
Australia,1974,13257.49,0
Australia,1975,13270.19,0
Australia,1976,13477.87,0
Australia,1977,13805.98,0
Australia,1978,13768.3,0
Australia,1979,14171.99,0
Australia,1980,14425.29,0
Australia,1981,14676.08,0
Australia,1982,14903.48,0
Australia,1983,14373.91,0
Australia,1984,14854.8,0
Australia,1985,15431.96,0
Australia,1986,15813.63,0
Australia,1987,15973.57,0
Australia,1988,16619.14,0
Australia,1989,16973.08,0
Australia,1990,17322.0,0
Australia,1991,17037.23,0
Australia,1992,16919.71,0
Australia,1993,17448.5,0
Australia,1994,17969.12,0
Australia,1995,18460.63,0
Australia,1996,18942.6,0
Australia,1997,19472.03,0
Australia,1998,20177.92,0
Australia,1999,20961.83,0
Australia,2000,21535.96,0
Australia,2001,21691.77,0
Australia,2002,22299.9,0
Australia,2003,22726.23,0
Austria,1960,7277.94,0
Austria,1961,7638.97,0
Austria,1962,7793.39,0
Austria,1963,8063.94,0
Austria,1964,8500.95,0
Austria,1965,8739.83,0
Austria,1966,9168.47,0
Austria,1967,9373.94,0
Austria,1968,9742.45,0
Austria,1969,10318.18,0
Austria,1970,11014.6,0
Austria,1971,11526.44,0
Austria,1972,12171.04,0
Austria,1973,12695.72,0
Austria,1974,13173.77,0
Austria,1975,13160.72,0
Austria,1976,13787.61,0
Austria,1977,14482.46,0
Austria,1978,14463.66,0
Austria,1979,15264.43,0
Austria,1980,15528.72,0
Austria,1981,15466.81,0
Austria,1982,15766.58,0
Austria,1983,16261.59,0
Austria,1984,16270.95,0
Austria,1985,16669.69,0
Austria,1986,17042.49,0
Austria,1987,17262.85,0
Austria,1988,17806.59,0
Austria,1989,18415.59,0
Austria,1990,19070.0,0
Austria,1991,19530.35,0
Austria,1992,19720.98,0
Austria,1993,19662.06,0
Austria,1994,20057.03,0
Austria,1995,20560.64,0
Austria,1996,20987.86,0
Austria,1997,21413.95,0
Austria,1998,22137.61,0
Austria,1999,22925.76,0
Austria,2000,23600.16,0
Austria,2001,23819.62,0
Austria,2002,24054.55,0
Austria,2003,24210.92,0
Belgium,1960,7330.3,0
Belgium,1961,7669.71,0
Belgium,1962,8037.4,0
Belgium,1963,8324.69,0
Belgium,1964,8819.93,0
Belgium,1965,9051.41,0
Belgium,1966,9274.2,0
Belgium,1967,9579.47,0
Belgium,1968,9942.06,0
Belgium,1969,10571.22,0
Belgium,1970,11231.69,0
Belgium,1971,11658.1,0
Belgium,1972,12227.5,0
Belgium,1973,12966.95,0
Belgium,1974,13516.33,0
Belgium,1975,13212.37,0
Belgium,1976,13934.32,0
Belgium,1977,14004.26,0
Belgium,1978,14388.82,0
Belgium,1979,14712.44,0
Belgium,1980,15349.35,0
Belgium,1981,15306.88,0
Belgium,1982,15402.14,0
Belgium,1983,15451.4,0
Belgium,1984,15832.73,0
Belgium,1985,16089.46,0
Belgium,1986,16376.89,0
Belgium,1987,16740.37,0
Belgium,1988,17475.41,0
Belgium,1989,18016.1,0
Belgium,1990,18526.0,0
Belgium,1991,18795.62,0
Belgium,1992,19006.05,0
Belgium,1993,18749.85,0
Belgium,1994,19295.34,0
Belgium,1995,19714.16,0
Belgium,1996,19935.68,0
Belgium,1997,20641.96,0
Belgium,1998,21002.03,0
Belgium,1999,21696.29,0
Belgium,2000,22448.17,0
Belgium,2001,22617.08,0
Belgium,2002,22900.25,0
Belgium,2003,23041.28,0
Canada,1960,9135.32,0
Canada,1961,9219.13,0
Canada,1962,9682.05,0
Canada,1963,9983.9,0
Canada,1964,10435.69,0
Canada,1965,10930.7,0
Canada,1966,11424.39,0
Canada,1967,11561.89,0
Canada,1968,11980.29,0
Canada,1969,12432.73,0
Canada,1970,12576.13,0
Canada,1971,13111.07,0
Canada,1972,13643.4,0
Canada,1973,14442.87,0
Canada,1974,14825.91,0
Canada,1975,14941.15,0
Canada,1976,15553.36,0
Canada,1977,15887.94,0
Canada,1978,16365.27,0
Canada,1979,16876.64,0
Canada,1980,16882.54,0
Canada,1981,17191.59,0
Canada,1982,16468.07,0
Canada,1983,16778.43,0
Canada,1984,17571.35,0
Canada,1985,18349.87,0
Canada,1986,18642.55,0
Canada,1987,19149.34,0
Canada,1988,19823.1,0
Canada,1989,19942.92,0
Canada,1990,19696.73,0
Canada,1991,19087.6,0
Canada,1992,19080.72,0
Canada,1993,19418.83,0
Canada,1994,20131.38,0
Canada,1995,20514.35,0
Canada,1996,20686.9,0
Canada,1997,21417.26,0
Canada,1998,22121.82,0
Canada,1999,23143.24,0
Canada,2000,24188.8,0
Canada,2001,24427.56,0
Canada,2002,24962.36,0
Canada,2003,25247.83,0
Denmark,1960,8129.02,0
Denmark,1961,8587.4,0
Denmark,1962,9003.67,0
Denmark,1963,8989.93,0
Denmark,1964,9745.09,0
Denmark,1965,10109.92,0
Denmark,1966,10303.95,0
Denmark,1967,10824.78,0
Denmark,1968,11388.8,0
Denmark,1969,12096.07,0
Denmark,1970,12228.34,0
Denmark,1971,12529.56,0
Denmark,1972,12931.21,0
Denmark,1973,13459.88,0
Denmark,1974,13268.17,0
Denmark,1975,13043.45,0
Denmark,1976,13790.49,0
Denmark,1977,14020.56,0
Denmark,1978,14314.9,0
Denmark,1979,14858.59,0
Denmark,1980,14729.01,0
Denmark,1981,14624.03,0
Denmark,1982,15204.38,0
Denmark,1983,15618.75,0
Denmark,1984,16305.03,0
Denmark,1985,16975.32,0
Denmark,1986,17755.07,0
Denmark,1987,17814.69,0
Denmark,1988,17854.63,0
Denmark,1989,17968.33,0
Denmark,1990,18237.0,0
Denmark,1991,18454.97,0
Denmark,1992,18766.12,0
Denmark,1993,18688.95,0
Denmark,1994,19612.13,0
Denmark,1995,20102.95,0
Denmark,1996,20568.35,0
Denmark,1997,21132.05,0
Denmark,1998,21545.26,0
Denmark,1999,22111.29,0
Denmark,2000,22858.19,0
Denmark,2001,22992.81,0
Denmark,2002,23024.11,0
Denmark,2003,23062.84,0
Finland,1960,6502.5,0
Finland,1961,6949.05,0
Finland,1962,7116.67,0
Finland,1963,7299.35,0
Finland,1964,7626.08,0
Finland,1965,8005.19,0
Finland,1966,8165.61,0
Finland,1967,8293.94,0
Finland,1968,8446.51,0
Finland,1969,9265.62,0
Finland,1970,9995.69,0
Finland,1971,10191.46,0
Finland,1972,10904.5,0
Finland,1973,11569.09,0
Finland,1974,11857.19,0
Finland,1975,11941.0,0
Finland,1976,11853.92,0
Finland,1977,11851.3,0
Finland,1978,12064.1,0
Finland,1979,12870.77,0
Finland,1980,13514.41,0
Finland,1981,13707.57,0
Finland,1982,14074.24,0
Finland,1983,14368.23,0
Finland,1984,14723.11,0
Finland,1985,15156.57,0
Finland,1986,15466.27,0
Finland,1987,16054.25,0
Finland,1988,16790.87,0
Finland,1989,17686.59,0
Finland,1990,17602.78,0
Finland,1991,16483.72,0
Finland,1992,15858.32,0
Finland,1993,15677.6,0
Finland,1994,16236.71,0
Finland,1995,16867.88,0
Finland,1996,17441.23,0
Finland,1997,18490.56,0
Finland,1998,19456.65,0
Finland,1999,20289.22,0
Finland,2000,21404.21,0
Finland,2001,21922.73,0
Finland,2002,22253.3,0
Finland,2003,22659.7,0
France,1960,6995.27,0
France,1961,7255.86,0
France,1962,7676.98,0
France,1963,8071.44,0
France,1964,8498.99,0
France,1965,8822.57,0
France,1966,9202.18,0
France,1967,9574.51,0
France,1968,9924.28,0
France,1969,10542.95,0
France,1970,11095.21,0
France,1971,11577.05,0
France,1972,11996.59,0
France,1973,12686.6,0
France,1974,13194.12,0
France,1975,12983.86,0
France,1976,13495.97,0
France,1977,13912.95,0
France,1978,14389.48,0
France,1979,14854.5,0
France,1980,15023.09,0
France,1981,15111.62,0
France,1982,15424.29,0
France,1983,15535.02,0
France,1984,15708.13,0
France,1985,15875.05,0
France,1986,16171.52,0
France,1987,16494.51,0
France,1988,17188.94,0
France,1989,17839.32,0
France,1990,18244.0,0
France,1991,18377.12,0
France,1992,18563.05,0
France,1993,18416.14,0
France,1994,18784.63,0
France,1995,19147.72,0
France,1996,19345.96,0
France,1997,19764.2,0
France,1998,20370.96,0
France,1999,20955.05,0
France,2000,21673.54,0
France,2001,21924.8,0
France,2002,21998.39,0
France,2003,22055.11,0
Greece,1960,3683.1,0
Greece,1961,4136.48,0
Greece,1962,4126.91,0
Greece,1963,4598.65,0
Greece,1964,5013.16,0
Greece,1965,5527.06,0
Greece,1966,5842.75,0
Greece,1967,6123.92,0
Greece,1968,6522.5,0
Greece,1969,7250.2,0
Greece,1970,7879.68,0
Greece,1971,8460.76,0
Greece,1972,9259.99,0
Greece,1973,9963.99,0
Greece,1974,9288.23,0
Greece,1975,9787.29,0
Greece,1976,10296.73,0
Greece,1977,10462.53,0
Greece,1978,11076.19,0
Greece,1979,11297.99,0
Greece,1980,11263.31,0
Greece,1981,10989.34,0
Greece,1982,10798.1,0
Greece,1983,10619.67,0
Greece,1984,10779.35,0
Greece,1985,11007.04,0
Greece,1986,11027.49,0
Greece,1987,10742.41,0
Greece,1988,11162.42,0
Greece,1989,11526.28,0
Greece,1990,11405.0,0
Greece,1991,11618.25,0
Greece,1992,11610.55,0
Greece,1993,11357.77,0
Greece,1994,11527.07,0
Greece,1995,11714.25,0
Greece,1996,11823.97,0
Greece,1997,12189.7,0
Greece,1998,12538.97,0
Greece,1999,12823.08,0
Greece,2000,13299.17,0
Greece,2001,13845.47,0
Greece,2002,14440.84,0
Greece,2003,15241.53,0
Iceland,1960,7175.6,0
Iceland,1961,7024.35,0
Iceland,1962,7487.27,0
Iceland,1963,8096.86,0
Iceland,1964,8764.72,0
Iceland,1965,9232.23,0
Iceland,1966,9859.49,0
Iceland,1967,9587.11,0
Iceland,1968,8936.27,0
Iceland,1969,9088.18,0
Iceland,1970,9710.21,0
Iceland,1971,10873.08,0
Iceland,1972,11370.7,0
Iceland,1973,11967.19,0
Iceland,1974,12475.95,0
Iceland,1975,12398.03,0
Iceland,1976,13014.82,0
Iceland,1977,14054.59,0
Iceland,1978,14784.0,0
Iceland,1979,15349.72,0
Iceland,1980,16060.15,0
Iceland,1981,16555.15,0
Iceland,1982,16681.52,0
Iceland,1983,16110.56,0
Iceland,1984,16602.95,0
Iceland,1985,17017.42,0
Iceland,1986,17966.18,0
Iceland,1987,19365.42,0
Iceland,1988,18945.05,0
Iceland,1989,18760.41,0
Iceland,1990,18831.12,0
Iceland,1991,18502.44,0
Iceland,1992,17586.6,0
Iceland,1993,17569.91,0
Iceland,1994,17978.49,0
Iceland,1995,17833.15,0
Iceland,1996,18515.39,0
Iceland,1997,19603.19,0
Iceland,1998,20588.92,0
Iceland,1999,21074.97,0
Iceland,2000,21678.25,0
Iceland,2001,22127.52,0
Iceland,2002,21915.41,0
Iceland,2003,22210.19,0
Ireland,1960,4468.79,0
Ireland,1961,4705.16,0
Ireland,1962,4838.73,0
Ireland,1963,5031.89,0
Ireland,1964,5204.1,0
Ireland,1965,5271.54,0
Ireland,1966,5301.66,0
Ireland,1967,5585.82,0
Ireland,1968,6021.9,0
Ireland,1969,6355.18,0
Ireland,1970,6469.76,0
Ireland,1971,6631.49,0
Ireland,1972,6954.29,0
Ireland,1973,7167.09,0
Ireland,1974,7349.77,0
Ireland,1975,7635.9,0
Ireland,1976,7620.84,0
Ireland,1977,8135.49,0
Ireland,1978,8610.2,0
Ireland,1979,8731.33,0
Ireland,1980,8914.01,0
Ireland,1981,9096.69,0
Ireland,1982,9206.69,0
Ireland,1983,9121.57,0
Ireland,1984,9451.57,0
Ireland,1985,9712.83,0
Ireland,1986,9669.61,0
Ireland,1987,10121.4,0
Ireland,1988,10681.23,0
Ireland,1989,11355.64,0
Ireland,1990,12334.52,0
Ireland,1991,12606.86,0
Ireland,1992,13116.78,0
Ireland,1993,13505.95,0
Ireland,1994,14408.05,0
Ireland,1995,15888.69,0
Ireland,1996,17392.54,0
Ireland,1997,19286.79,0
Ireland,1998,20892.76,0
Ireland,1999,23163.83,0
Ireland,2000,25409.25,0
Ireland,2001,26823.44,0
Ireland,2002,28163.41,0
Ireland,2003,29053.86,0
Italy,1960,6321.63,0
Italy,1961,6794.89,0
Italy,1962,7167.76,0
Italy,1963,7514.82,0
Italy,1964,7661.78,0
Italy,1965,7845.82,0
Italy,1966,8250.99,0
Italy,1967,8779.52,0
Italy,1968,9295.19,0
Italy,1969,9806.35,0
Italy,1970,10272.65,0
Italy,1971,10410.74,0
Italy,1972,10733.84,0
Italy,1973,11421.0,0
Italy,1974,11970.58,0
Italy,1975,11650.58,0
Italy,1976,12418.62,0
Italy,1977,12682.62,0
Italy,1978,13046.99,0
Italy,1979,13784.56,0
Italy,1980,14228.03,0
Italy,1981,14330.94,0
Italy,1982,14379.55,0
Italy,1983,14542.4,0
Italy,1984,15008.16,0
Italy,1985,15423.64,0
Italy,1986,15863.89,0
Italy,1987,16368.59,0
Italy,1988,17046.91,0
Italy,1989,17611.31,0
Italy,1990,17946.0,0
Italy,1991,18209.48,0
Italy,1992,18348.93,0
Italy,1993,18181.33,0
Italy,1994,18568.63,0
Italy,1995,19104.37,0
Italy,1996,19356.0,0
Italy,1997,19718.31,0
Italy,1998,20068.32,0
Italy,1999,20401.63,0
Italy,2000,21184.05,0
Italy,2001,21595.86,0
Italy,2002,21611.36,0
Italy,2003,21509.19,0
Japan,1960,4229.32,0
Japan,1961,4696.41,0
Japan,1962,5067.51,0
Japan,1963,5441.49,0
Japan,1964,6013.97,0
Japan,1965,6295.81,0
Japan,1966,6902.25,0
Japan,1967,7588.25,0
Japan,1968,8469.81,0
Japan,1969,9414.08,0
Japan,1970,9343.43,0
Japan,1971,9570.16,0
Japan,1972,10231.03,0
Japan,1973,10898.4,0
Japan,1974,10622.69,0
Japan,1975,10812.6,0
Japan,1976,11122.58,0
Japan,1977,11499.04,0
Japan,1978,11995.6,0
Japan,1979,12546.77,0
Japan,1980,12799.01,0
Japan,1981,13247.48,0
Japan,1982,13587.38,0
Japan,1983,13983.03,0
Japan,1984,14505.46,0
Japan,1985,15158.73,0
Japan,1986,15574.93,0
Japan,1987,16220.61,0
Japan,1988,17229.32,0
Japan,1989,18005.88,0
Japan,1990,18815.0,0
Japan,1991,19401.56,0
Japan,1992,19503.75,0
Japan,1993,19351.36,0
Japan,1994,19506.47,0
Japan,1995,19972.77,0
Japan,1996,20552.01,0
Japan,1997,20704.28,0
Japan,1998,20385.8,0
Japan,1999,20280.66,0
Japan,2000,20806.52,0
Japan,2001,20836.59,0
Japan,2002,20796.92,0
Japan,2003,21071.04,0
Luxembourg,1960,10391.17,0
Luxembourg,1961,10704.8,0
Luxembourg,1962,10718.55,0
Luxembourg,1963,10977.84,0
Luxembourg,1964,11696.77,0
Luxembourg,1965,11787.13,0
Luxembourg,1966,11840.82,0
Luxembourg,1967,11829.04,0
Luxembourg,1968,12292.61,0
